Name,Steam_App_ID,Position,Release_Date,Release_Season,Platform,Genre,Publisher,NA_Sales,EU_Sales,Global_Sales,User_Count,Developer,steam_price_usd,metacritic_score,total_recommendations
Grand Theft Auto: San Andreas,12120.0,18,2005-06-06,Summer,SNES,Platform,Nintendo,12.78,3.75,20.61,,,,93.0,69735.0
Grand Theft Auto: Vice City,12110.0,25,2003-05-13,Spring,GBA,Role-Playing,Nintendo,6.06,3.9,15.85,,,,94.0,23888.0
Call of Duty: Black Ops,42700.0,33,2010-11-09,Fall,3DS,Role-Playing,Nintendo,5.28,4.19,14.6,,,39.99,81.0,19757.0
Call of Duty: Black Ops II,202970.0,35,2012-11-12,Fall,X360,Shooter,Activision,8.25,4.24,13.67,2256.0,Treyarch,59.99,74.0,20782.0
Grand Theft Auto III,12100.0,39,2002-05-21,Spring,Wii,Fighting,Nintendo,6.62,2.55,12.84,1662.0,Game Arts,,93.0,10957.0
Call of Duty: Ghosts,209160.0,61,2014-03-25,Spring,Wii,Misc,Ubisoft,5.95,3.11,10.12,16.0,Ubisoft,59.99,68.0,11710.0
Final Fantasy VII,39140.0,66,2013-07-04,Summer,X360,Shooter,Microsoft Game Studios,6.65,2.28,9.71,3260.0,343 Industries,4.79,,23780.0
The Elder Scrolls V: Skyrim,72850.0,76,2011-11-10,Fall,SNES,Racing,Nintendo,3.54,1.24,8.76,,,19.99,94.0,181096.0
The Sims 3,47890.0,86,2009-06-02,Summer,Wii,Sports,Sega,2.57,3.86,7.99,,,19.99,86.0,29443.0
Call of Duty: World at War,10090.0,101,2008-11-18,Fall,X360,Shooter,Electronic Arts,4.46,2.11,7.32,2142.0,EA DICE,19.99,83.0,42754.0
Battlefield 3,1238820.0,102,2011-10-28,Fall,PS2,Racing,Electronic Arts,3.27,2.83,7.2,171.0,EA Black Box,1.99,89.0,11710.0
Fallout 4,377160.0,106,2015-11-09,Fall,PS,Fighting,Sony Computer Entertainment,3.27,2.22,7.16,367.0,Namco,19.99,84.0,258750.0
Resident Evil 2,883710.0,152,2019-01-24,Winter,DS,Role-Playing,Nintendo,0.63,0.67,5.78,197.0,Level 5,9.99,89.0,115624.0
Resident Evil 5,21690.0,200,2009-09-15,Fall,DS,Action,Nintendo,1.85,1.8,5.08,416.0,Nintendo,4.99,86.0,33948.0
Resident Evil,304240.0,204,2015-01-19,Winter,PSP,Action,Take-Two Interactive,1.7,1.99,5.03,150.0,Rockstar Leeds,4.99,82.0,19447.0
Tomb Raider,203160.0,230,2013-03-04,Spring,Wii,Simulation,Nintendo,1.82,1.12,4.62,119.0,Nintendo,14.99,86.0,153624.0
Call of Duty: Infinite Warfare,292730.0,246,2016-11-03,Fall,PS2,Action,Sony Computer Entertainment,2.71,1.29,4.45,997.0,SCE Santa Monica,59.99,73.0,15634.0
God of War,1593500.0,247,2022-01-14,Winter,WiiU,Shooter,Nintendo,1.54,1.18,4.43,1184.0,Nintendo,49.99,93.0,108496.0
Half-Life,70.0,285,1998-11-19,Fall,SNES,Platform,Nintendo,1.65,0.61,4.12,,,9.99,96.0,103571.0
Battlefield 1,1238840.0,290,2016-10-20,Fall,PS2,Action,Sony Computer Entertainment,2.32,0.04,4.07,709.0,SCE Santa Monica,1.99,,159796.0
Fallout: New Vegas,22380.0,293,2010-10-21,Fall,X360,Racing,Microsoft Game Studios,2.35,1.27,4.05,381.0,Turn 10,9.99,84.0,179967.0
Far Cry 4,298110.0,299,2014-11-18,Fall,N64,Shooter,Nintendo,2.78,0.58,4.03,,,29.99,80.0,55066.0
Left 4 Dead 2,550.0,303,2009-11-16,Fall,PS4,Role-Playing,Namco Bandai Games,1.02,2.13,3.97,10179.0,CD Projekt Red Studio,9.99,89.0,721558.0
